country,site_code,survey,indicator_full,indicator_condensed,survey_question_code,full_question,response_options
Brazil,BIGUAPE,Community Support,Attitude - TURF,Attitude,21_do_you_believe_that_your_participation_in_the_iguape_bay_resex_activities_can_have_a_direct_effect_on_your_life,21-DO YOU BELIEVE THAT YOUR PARTICIPATION IN THE IGUAPE BAY RESEX ACTIVITIES CAN HAVE A DIRECT EFFECT ON YOUR LIFE?,[ ] Yes [ ] No [ ] No Answer
Brazil,BIGUAPE,Community Support,Knowledge - TURF,Knowledge,8_do_you_know_what_is_the_rotation_of_shellfish_areas,8-Do you know what is the rotation of shellfish areas?,[ ] Yes [ ] No [ ] No Answer
Brazil,BIGUAPE,Sustainable Fishing Practices,BC - Management Participation,Management Participation,40_in_the_last_six_months_were_you_participating_in_any_activity_in_the_iguape_bay_resex,40-IN THE LAST SIX MONTHS WERE YOU PARTICIPATING IN ANY ACTIVITY IN THE IGUAPE BAY RESEX?,[ ] Yes [ ] No [ ] No Answer
Brazil,BIGUAPE,Sustainable Fishing Practices,BC - Management Participation,Management Participation,46_governance_and_fishing_participation_do_you_or_someone_in_your_house_be_an_active_member_of_the_deliberative_council,46-GOVERNANCE AND FISHING PARTICIPATION => DO YOU OR SOMEONE IN YOUR HOUSE BE AN ACTIVE MEMBER OF THE DELIBERATIVE COUNCIL?,[ ] Yes [ ] No [ ] No Answer
Brazil,CANAVIE,Community Support,Attitude - TURF,Attitude,do_you_believe_that_fishing_in_the_resex_area_needs_to_be_regulated,DO YOU BELIEVE THAT FISHING IN THE RESEX AREA NEEDS TO BE REGULATED?,[ ] Yes [ ] No [ ] No Answer
Brazil,CANAVIE,Community Support,Attitude - TURF,Attitude,do_you_believe_that_it_is_important_to_capture_the_robalo_respecting_your_minimum_capture_size,DO YOU BELIEVE THAT IT IS IMPORTANT TO CAPTURE THE ROBALO RESPECTING YOUR MINIMUM CAPTURE SIZE?,[ ] Yes [ ] No [ ] No Answer
Brazil,CANAVIE,Community Support,Attitude - TURF,Attitude,do_you_believe_that_protecting_reproduction_areas_is_critical_to_stabilizing_stock_in_resex,Do you believe that protecting reproduction areas is critical to stabilizing stock in resex?,[ ] Yes [ ] No [ ] No Answer
Brazil,CANAVIE,Community Support,Attitude - TURF,Attitude,do_you_think_its_essenital_to_respect_the_period_of_defense,Do you think its essenital to respect the period of defense?,[ ] Yes [ ] No [ ] No Answer
Brazil,CANAVIE,Community Support,Communication - TURF,Communication,talk_about_protected_areas_for_reproduction,Do you talk about protected areas for reproduction?,[ ] Yes [ ] No [ ] No Answer
Brazil,CANAVIE,Community Support,Knowledge - TURF,Knowledge,are_you_informed_of_the_fishing_agreement_concerning_the_robalo_catch_size_in_the_canexian_reserve,ARE YOU INFORMED OF THE FISHING AGREEMENT CONCERNING THE ROBALO CATCH SIZE IN THE CANEXIAN RESERVE?,[ ] Yes [ ] No [ ] No Answer
Brazil,CANAVIE,Community Support,Knowledge - TURF,Knowledge,do_you_know_fishing_regulations_for_resex,Do you know fishing regulations for resex?,[ ] Yes [ ] No [ ] No Answer
Brazil,CANAVIE,Community Support,Knowledge - TURF,Knowledge,do_you_know_fishing_regulations_for_resex_ar1,Do you know fishing regulations for resex?+AR1,[ ] Yes [ ] No [ ] No Answer
Brazil,CANAVIE,Community Support,Knowledge - TURF,Knowledge,informed_on_importance_of_temporary_no_take_areas,Are you Informed on importance of temporary no take areas?,[ ] Yes [ ] No [ ] No Answer
Brazil,CANAVIE,Sustainable Fishing Practices,BC - Management Participation,Management Participation,17_do_you_participate_in_meetings_or_wheels_of_conversation_on_the_regularization_of_fisheries_in_the_research_of_canavieiras,17- DO YOU PARTICIPATE IN MEETINGS OR WHEELS OF CONVERSATION ON THE REGULARIZATION OF FISHERIES IN THE RESEARCH OF CANAVIEIRAS?,[ ] Yes [ ] No [ ] No Answer
Brazil,CANAVIE,Sustainable Fishing Practices,BC - Catch Reporting,Catch Reporting,do_you_note_your_daily_catches,Do you note your daily catches?,[ ] Yes [ ] No [ ] No Answer
Brazil,CANAVIE,Sustainable Fishing Practices,BC - TURF Compliance,TURF Compliance,do_you_stop_fishing_during_critical_periods_growth_development,Do you stop fishing during critical periods of growth and development?,[ ] Yes [ ] No [ ] No Answer
Brazil,CURURUP,Community Support,Attitude - TURF,Attitude,2_do_you_believe_that_your_participation_in_resex_cururupu_fishing_activities_can_have_a_direct_effect_on_your_life,2-DO YOU BELIEVE THAT YOUR PARTICIPATION IN RESEX CURURUPU FISHING ACTIVITIES CAN HAVE A DIRECT EFFECT ON YOUR LIFE?,[ ] Yes [ ] No [ ] No Answer
Brazil,CURURUP,Community Support,Attitude - TURF,Attitude,24_do_you_think_important_to_respect_the_period_of_discovery_of_the_yellow_fish,24-DO YOU THINK It is IMPORTANT TO RESPECT THE PERIOD OF DISCOVERY OF THE YELLOW FISH?,[ ] Yes [ ] No [ ] No Answer
Brazil,CURURUP,Community Support,Attitude - NTZ,Attitude,26_do_you_think_important_to_have_area_without_fishing_in_resex,26-DO YOU THINK It is IMPORTANT TO HAVE an AREA WITHOUT FISHING IN RESEX?,[ ] Yes [ ] No [ ] No Answer
Brazil,CURURUP,Community Support,Knowledge - TURF,Knowledge,17_do_you_know_the_importance_of_regulating_a_spawning_period_for_yellow_hake,17-Do you know the importance of regulating a spawning period for yellow hake?,[ ] Yes [ ] No [ ] No Answer
Brazil,CURURUP,Community Support,Knowledge - NTZ,Knowledge,19_do_you_know_what_is_a_play_area_or_asp_non_fishing_area,19-Do you know what is a play area or ASP (non-fishing area)?,[ ] Yes [ ] No [ ] No Answer
Brazil,CURURUP,Community Support,Knowledge - Catch Reporting,Knowledge,21_today_do_you_know_how_to_fill_in_a_daily_board,21-TODAY DO YOU KNOW HOW TO FILL IN A DAILY BOARD?,[ ] Yes [ ] No [ ] No Answer
Brazil,CURURUP,Community Support,Communication - TURF,Communication,28_do_you_participate_in_discussions_about_areas_without_fishing_with_other_fishermen,28-Do you participate in discussions about areas without fishing with other fishermen?,[ ] Yes [ ] No [ ] No Answer
Brazil,CURURUP,Sustainable Fishing Practices,BC - TURF Compliance,TURF Compliance,39_do_you_participate_in_the_area_process_without_fishing_for_yellow_fish,39-DO YOU PARTICIPATE IN THE AREA PROCESS WITHOUT FISHING FOR YELLOW FISH,[ ] Yes [ ] No [ ] No Answer
Brazil,CURURUP,Sustainable Fishing Practices,BC - NTZ Compliance,NTZ Compliance,40_do_you_respect_the_areas_without_fishing,40-DO YOU RESPECT THE AREAS WITHOUT FISHING?,[ ] Yes [ ] No [ ] No Answer
Brazil,CURURUP,Sustainable Fishing Practices,BC - Catch Reporting,Catch Reporting,44_today_do_you_participate_in_fishing_monitoring_through_the_boat_diary_4,44-TODAY DO YOU PARTICIPATE IN FISHING MONITORING THROUGH THE BOAT DIARY?,[ ] Yes [ ] No [ ] No Answer
Brazil,CURURUP,Sustainable Fishing Practices,BC - Management Participation,Management Participation,47_governance_and_fishing_participation_do_you_or_someone_in_your_house_be_an_active_member_of_the_deliberative_council,47-GOVERNANCE AND FISHING PARTICIPATION => DO YOU OR SOMEONE IN YOUR HOUSE BE AN ACTIVE MEMBER OF THE DELIBERATIVE COUNCIL?,[ ] Yes [ ] No [ ] No Answer
Brazil,PARNAIB,Community Support,Attitude - TURF,Attitude,35_do_you_find_it_important_to_create_a_protected_area_for_nurseries_and_or_fish_spawning,35-Do you find it important to create a protected area for nurseries and / or fish spawning?,[ ] Yes [ ] No [ ] No Answer
Brazil,PARNAIB,Community Support,Attitude - TURF,Attitude,17_are_studies_and_meetings_held_to_discuss_fishing_in_the_community,17-Are studies and meetings held to discuss fishing in the community?,[ ] Yes [ ] No [ ] No Answer
Brazil,PARNAIB,Community Support,Attitude - TURF,Attitude,19_do_you_believe_that_something_needs_to_be_done_to_improve_fishing_in_your_community,19-Do you believe that something needs to be done to improve fishing in YOUR community?,[ ] Yes [ ] No [ ] No Answer
Brazil,PARNAIB,Community Support,Knowledge - TURF,Knowledge,29_do_you_know_or_use_any_method_or_gear_that_avoids_the_capture_of_juvenile_sea_bass,29-Do you know or use any method or gear that avoids the capture of juvenile sea bass?,[ ] Yes [ ] No [ ] No Answer
Brazil,PARNAIB,Sustainable Fishing Practices,BC - TURF Compliance,TURF Compliance,34_do_you_respect_or_respect_nursery_and_or_spawning_grounds_where_you_can_not_fish,34-Do you respect or respect nursery and / or spawning grounds where you can not fish?,[ ] Yes [ ] No [ ] No Answer
Brazil,PARNAIB,Sustainable Fishing Practices,BC - Management Participation,Management Participation,39_governance_and_fishing_participation_do_you_or_someone_in_your_house_be_an_active_member_of_the_deliberative_council,39-GOVERNANCE AND FISHING PARTICIPATION => DO YOU OR SOMEONE IN YOUR HOUSE BE AN ACTIVE MEMBER OF THE DELIBERATIVE COUNCIL?,[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Community Support,Attitude - TURF,Attitude,21_do_you_think_it_is_important_to_replace_the_tire_old_cars_old_stove_by_garajau_craft_attractors,"21-Do you think it is important to replace the Tire, Old Cars, Old Stove, by Garajau (Craft Attractors)?",[ ] Yes [ ] No [ ] No Answer
