Family,Country
Acanthuridae,Philippines
Balistidae,Philippines
Caesionidae,Philippines
Carangidae,Philippines
Chanidae,Philippines
Clupeidae,Philippines
Diodontidae,Philippines
Ephippidae,Philippines
Fistulariidae,Philippines
Haemulidae,Philippines
Holocentridae,Philippines
Kyphosidae,Philippines
Labridae,Philippines
Lethrinidae,Philippines
Lutjanidae,Philippines
Mullidae,Philippines
Nemipteridae,Philippines
Plotosidae,Philippines
Pomacanthidae,Philippines
Priacanthidae,Philippines
Scaridae,Philippines
Scombridae,Philippines
Serranidae,Philippines
Siganidae,Philippines
Sphyraenidae,Philippines
Synodontidae,Philippines
Acanthuridae,Indonesia
Caesionidae,Indonesia
Carangidae,Indonesia
Haemulidae,Indonesia
Labridae,Indonesia
Lethrinidae,Indonesia
Lutjanidae,Indonesia
Scaridae,Indonesia
Serranidae,Indonesia
Siganidae,Indonesia
