Country,Survey,Indicator,Question,Responses
Philippines,Community Support,Attitude - Catch Reporting,"(14). Please State Below Whether You Beleive Each Regulation Is Either True, False Or Unsure About Marine Sanctuary Rules And Regulations And Fisheries Management In Your Municipality. (G) Are There Benefits Of Reporting Your Catch?",[ ] True	[ ] False	[ ] Unsure
Philippines,Community Support,Attitude - Enforcement,It Is Important That Fishers Report Intrusions To The Bantay Dagat,[ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer
Philippines,Community Support,Attitude - Enforcement,Reporting Anyone Intruding Into The Iniban Marine Sanctuary Is An Important Responsibility Of Everyone,"Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree, refused to answer"
Philippines,Community Support,Attitude - Enforcement,Reporting Anyone Intruding Into The Marine Sanctuaries In My Barangay Or In Bindoy Is An Important Responsibility Of Every Fisher.,"yes, no, refused to answer"
Philippines,Community Support,Attitude - Enforcement,Reporting Violations Is Easy To Do,[ ] True	[ ] False	[ ] Unsure
Philippines,Community Support,Attitude - Enforcement,Reporting Violations Is Easy To Do,"Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree, refused to answer"
Philippines,Community Support,Attitude - Enforcement,Reporting Violations Is Easy To Do,"True,False, Refuse to answer"
Philippines,Community Support,Attitude - Enforcement,Reporting Violations Is A Safe Thing To Do,"Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree, refused to answer"
Philippines,Community Support,Attitude - Enforcement,Reporting Violations Is A Safe Thing To Do,True False Refuse to answer
Philippines,Community Support,Attitude - Enforcement,There Will Be Consequences For Fishers Who Do Not Follow The Rules And Regulations Of Bindoy Marine Sanctuary,[ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer
Philippines,Community Support,Attitude - Enforcement,There Will Be Consequences For Fishers Who Do Not Follow The Rules And Regulations Of Iniban Marine Sanctuary,[ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer
Philippines,Community Support,Attitude - Licensing,"(14). Please State Below Whether You Beleive Each Regulation Is Either True, False Or Unsure About Marine Sanctuary Rules And Regulations And Fisheries Management In Your Municipality. (D) Are There Benefits Of A Registered Fisher?",[ ] True	[ ] False	[ ] Unsure
Philippines,Community Support,Attitude - Licensing,The Bindoy Marine Sanctuaries Can Improve If Only Registered Local Fishers Are Allowed To Fish Inside The No-Take Zone,[ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer
Philippines,Community Support,Attitude - NTZ,"(13). I Am Going To Ask You About The Marine Sanctuary That Is Going To Be Or Has Been Created In Your Local Area. A Marine Sanctuary Or No-Take Fishing Area Is A Clearly Identified Area Where Fishing Is Not Allowed At Any Time By Anyone.

(13a). Are There Any Benefits To The Local Community From Having A Marine Sanctuary Nearby? (If Respondents Answers Yes Then Please Also Next Question)",[ ] Yes	[ ] No	[ ] No Answer
Philippines,Community Support,Attitude - NTZ,Fishing Should Not Be Allowed Inside Iniban Marine Sanctuary Converted,"Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree, refused to answer"
Philippines,Community Support,Attitude - NTZ,"If Marine Sanctuaries Are Well-Managed, It Will Help Buffer Some Of The Effects Of Climate Change","Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree, refused to answer"
Philippines,Community Support,Attitude - NTZ,It Is Important That All Fishers Protect The Marine Sanctuary As It Is A Breeding Place For Fish,"Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree, refused to answer"
Philippines,Community Support,Attitude - NTZ,Protecting The Marine Sanctuaries Is Beneficial For Improving Live Hard Coral Cover That Serve As,[ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer
Philippines,Community Support,Attitude - NTZ,The Marine Sanctuary Will Increase Fish Abundance,[ ] Yes	[ ] No	[ ] No Answer
Philippines,Community Support,Attitude - NTZ,The Marine Sanctuary Will Increase Fishers' Fish Catch,[ ] Yes	[ ] No	[ ] No Answer
Philippines,Community Support,Attitude - NTZ,The Marine Sanctuary Will Provide Bigger Fish,[ ] Yes	[ ] No	[ ] No Answer
Philippines,Community Support,Attitude - NTZ,The Marine Sanctuary Will Provide The Fish A Place Where They Could Breed.,[ ] Yes	[ ] No	[ ] No Answer
Philippines,Community Support,Attitude - TURF,(B) Protecting The Marine Sanctuary Is Beneficial For Increasing Fish Abundance In The Municipality,[ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer
Philippines,Community Support,Attitude - TURF,Fish Species Will Continue To Decline In Number Or Disappear,"Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree"
Philippines,Community Support,Attitude - TURF,Fishers Should Report Fishers Fishing Using Gear Other Than H & L In Sayap Reef,[ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer
